name,contactPerson,address,telephone,mobile,email,city,infoSrc
上海旭章室内设计有限公司,N/A,上海 上海市杨浦区周家嘴路3255号9楼（集中登记地）,(021),未提供,NA,Shanghai,Shunqi
上海元造室内设计有限公司,N/A,上海 上海市杨浦区周家嘴路3255号9楼（集中登记地）,(021),未提供,NA,Shanghai,Shunqi
景若蕙芷景观设计咨询（上海）有限公司,N/A,上海 上海市杨浦区长阳路2588号2幢2楼（集中登记地）,(021),未提供,NA,Shanghai,Shunqi
上海鲁班建筑设计事务所,N/A,上海 上海市杨浦区国康路100号2层（集中登记地）,(021),未提供,NA,Shanghai,Shunqi
上海市杨浦区暇海图文制作经营部,N/A,上海 上海市杨浦区江浦路1116号1层-3,(021),未提供,NA,Shanghai,Shunqi
上海市杨浦区典济图文制作服务部,N/A,上海 上海市杨浦区江浦路1508号1015室,(021),未提供,NA,Shanghai,Shunqi
变上海同大建筑设计事务所,N/A,上海 同济新村四平路第二小学 - ,(021),未提供,NA,Shanghai,Shunqi
上海同大规划建筑设计有限公司,N/A,上海 上海市杨浦区四平路1188号1201室,021-65155325,未提供,NA,Shanghai,Shunqi
上海一荧建筑装饰设计工程有限公司,N/A,上海 上海市杨浦区平凉路1398号105-6室,未提供,13818660060,NA,Shanghai,Shunqi
上海市烨建装饰设计工程有限公司,N/A,上海 上海市杨浦区控江路1142号23幢6069室,未提供,18616336991,NA,Shanghai,Shunqi
上海琛丽建筑装饰设计有限公司,N/A,上海 上海市杨浦区平凉路2103号62幢107室,未提供,15821923385,NA,Shanghai,Shunqi
上海郑堂鑫装潢有限公司,N/A,上海 上海市杨浦区殷行路759号2124室,未提供,13122051657,NA,Shanghai,Shunqi
上海申远建筑设计有限公司,N/A,上海 上海市杨浦区控江路1142号23幢5071-7室,021-65794758,未提供,NA,Shanghai,Shunqi
上海瑞浩装饰设计有限公司,N/A,上海 上海市杨浦区平凉路2103号47幢215室,(021),未提供,NA,Shanghai,Shunqi
上海郭与王品牌设计有限公司,N/A,上海 上海市杨浦区殷行路833号3夹层（集中登记地）,(021),未提供,NA,Shanghai,Shunqi
上海雅洁建筑装潢工程合作公司,N/A,上海 杨浦区平凉路1782弄41号,(021),未提供,NA,Shanghai,Shunqi
